coeff,lma,n,p,sla
750,-51627.41275781749,-0.012225116581005354,-67330.83998573633,0.7987755782642401
760,-49034.02909114027,-0.016008314267549575,-69665.21381512753,1.1813496358678581
770,-51980.857526029344,-0.01781210606045495,-76506.74072003728,1.3971166382138938
780,-51337.81311148217,-0.017651166757949335,-75552.98120404148,1.4020329468429442
790,-47620.36936270416,-0.016298953677814355,-70328.43309474681,1.3192048041641857
800,-44178.66179524385,-0.015125852752121543,-65468.37258535519,1.243698834523359
810,-40572.26272469978,-0.014055109772739164,-60316.077975375476,1.167277451652646
820,-37114.03735871466,-0.013215603278071723,-55272.44590567548,1.1042781843309506
830,-34051.78855291799,-0.012048527288705386,-51002.59444930875,1.0249906367111943
840,-31098.4556536241,-0.010864116007028775,-46860.09899079869,0.9465519674716162
850,-28347.762739522783,-0.009948735216758394,-42888.10462827845,0.8829777184573263
860,-25073.016935374224,-0.00837986757002813,-38395.425195309756,0.7838985696062805
870,-21535.071856353985,-0.0073419835960348,-33291.53399430868,0.713620450475763
880,-18292.128376766872,-0.00600088866711124,-28653.978545199017,0.6226096748730608
890,-15471.72127754663,-0.0046713918868275086,-24503.106357005094,0.5430102146742789
900,-12174.494568432905,-0.0028994878962510665,-19837.64044018116,0.4420876689054962
910,-9163.403258263059,-0.0013865171219513963,-15317.978777671788,0.34531573141680927
920,-7107.67982080368,-8.177231947084191e-4,-11960.67920626693,0.29858111957853933
930,-5456.358099786223,-6.0067292616983235e-5,-9205.102525788985,0.23515493184892464
940,-4003.9940054303074,9.029827580524475e-4,-6956.431897036975,0.15492127587128038
950,-3506.0759763821065,0.0012830032746229262,-6430.469123912764,0.07824476296214107
960,-2635.2063029790934,0.0020858709100956413,-5333.652958313151,0.005817597487956134
970,-704.253675532077,0.0032802476980501208,-2140.423882665789,-0.06230473372440672
980,1642.4245133335355,0.004751007567662499,1746.931031447631,-0.1386312138287101
990,4237.147742122854,0.005454750226101642,6079.483607917734,-0.16629179582689207
1000,7717.945524853638,0.007148967813824524,11278.619978567609,-0.2556824663593353
1010,10470.686352227907,0.008843829911509508,15389.06037582179,-0.32867602188526507
1020,13649.472726863287,0.010473551695530815,20070.508850028924,-0.40757029184324195
1030,15991.692043519595,0.011103479675574924,23460.554831833357,-0.4210002820005162
1040,18900.792235178957,0.012826236477819773,26998.7753535482,-0.511380489901985
1050,21631.6159376751,0.014386936965527779,30342.637764654744,-0.5985720047968145
1060,24022.429669807392,0.015093176960638924,33496.83128457768,-0.6446155262097908
1070,26646.309492852328,0.015763272668076284,36532.54884912292,-0.705087721353457
1080,28721.130484261623,0.01648060653520122,38805.79133382574,-0.7607052608531842
1090,30397.71999773248,0.01697164363319893,40947.84153632279,-0.8073254073129057
1100,31468.74997174797,0.017668260533547902,42176.65604694959,-0.8627926254949629
1110,32176.238891341967,0.017724366066358854,43112.85032941559,-0.8859331516632402
1120,33050.095022480964,0.018401321047655562,44205.46718293968,-0.9407956557556193
1130,32057.523865694286,0.01846832897191093,42626.574346153015,-0.9917426922547158
1140,28931.301884451826,0.017114499753645245,37493.86639929463,-1.025693842006182
1150,26619.265703972764,0.016311218204414103,33630.21593383917,-1.0597543867869275
1160,26169.0906559588,0.016634075999295023,33431.76896105813,-1.090061203478743
1170,26137.36599713529,0.017395307747971454,34494.89170715727,-1.1190367384892181
1180,26148.004071951593,0.01770796496731831,35863.41376421363,-1.1270923752350088
1190,26093.205226616687,0.01830378879339293,36647.62363506032,-1.1488072724597407
1200,26129.576869731776,0.01891564551373047,37671.36891165605,-1.160797872207952
1210,25575.111874242117,0.018684977345307514,38045.503852312126,-1.1298506521217693
1220,25234.651936198068,0.01793995807812867,38460.49643061086,-1.093477167745943
1230,24683.979524976323,0.016655409028152816,38261.07539852897,-1.0381321821251128
1240,24240.83888496811,0.01505409148244613,38150.90640051505,-0.9815466802316211
1250,22992.174459886042,0.013159018277359406,36779.95966839686,-0.8957510098155179
1260,22196.889550629694,0.011432520061149929,35896.96622220477,-0.8328896238596888
1270,21698.722615314196,0.009827596296131164,34942.89985990682,-0.7851154407016315
1280,21397.631325971503,0.008220512724031995,34132.418789925316,-0.7398498784020741
1290,21660.696276014583,0.007686644825675327,33955.111298387324,-0.7526480825636808
1300,22799.868165224463,0.008783517764078076,34180.4650939049,-0.841774744902396
1310,24295.305873621684,0.010525440797852656,34282.345045799426,-0.9799691444598058
1320,23933.073859531814,0.01069531666702092,31847.191930697856,-1.0457734259669986
1330,22681.029575031167,0.009988163685034164,28185.589121815032,-1.0643313751498826
1340,19899.38550489093,0.00662967056183089,22481.203282918053,-0.9592653258766222
1350,15163.614041361507,0.0013499186054265109,14600.410621593102,-0.7389089686555524
1360,14109.471347181432,0.002750423706096895,11769.57469817601,-0.8175676495322659
1370,9425.101718480797,-0.00026543521010029926,2808.7994522054364,-0.6971174265067172
1380,17397.744582164716,0.0070647154550622215,5221.294592691739,-1.0603039859498822
